pickup_rank,delivery_rank,total_tasks,completed_delivery,completed_direct,completion_rate,avg_pickup_time,avg_delivery_time,avg_direct_time,avg_total_time,total_flight_time,avg_flight_time,drone_count
0,0,48,20,19,0.8125,4.6,2.0,3.8421052631578947,245.6153846153846,935,935.0,1
1,0,48,4,12,0.3333333333333333,6.75,2.25,3.5,93.5,966,966.0,1
0,1,48,20,21,0.8541666666666666,3.35,2.6,3.6666666666666665,233.390243902439,932,932.0,1
1,1,48,20,19,0.8125,5.65,2.6,3.8421052631578947,224.10256410256412,934,934.0,1
2,0,48,20,19,0.8125,6.3,2.05,3.8421052631578947,270.6923076923077,935,935.0,1
0,2,48,20,20,0.8333333333333334,4.1,3.45,3.75,256.0,933,933.0,1
2,1,48,20,18,0.7916666666666666,5.45,2.75,3.7777777777777777,246.57894736842104,936,936.0,1
1,2,48,20,20,0.8333333333333334,5.15,3.2,3.75,253.85,933,933.0,1
2,2,48,3,3,0.125,6.0,3.6666666666666665,4.333333333333333,74.0,978,978.0,1
