time,entity,id,x,y,status,battery,region,direction
8,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
8,drone,7,40.0,66.66666666666667,idle,300.0,global,
8,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
8,bus,0,15.0,17.5,moving,,,1.0
8,bus,1,47.5,60.0,moving,,,-1.0
8,bus,2,17.5,15.0,moving,,,1.0
8,bus,3,50.0,57.5,moving,,,-1.0
9,drone,0,13.333333333333334,13.333333333333334,idle,300.0,global,
9,drone,1,40.0,13.333333333333334,idle,300.0,global,
9,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
9,drone,3,13.333333333333334,40.0,idle,300.0,global,
9,drone,4,40.0,40.0,idle,300.0,global,
9,drone,5,66.66666666666667,40.0,idle,300.0,global,
9,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
9,drone,7,40.0,66.66666666666667,idle,300.0,global,
9,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
9,bus,0,15.0,20.0,at_station,,,1.0
9,bus,1,45.0,60.0,at_station,,,-1.0
9,bus,2,20.0,15.0,at_station,,,1.0
9,bus,3,50.0,55.0,at_station,,,-1.0
9,bus,4,15.0,0.0,at_station,,,1.0
9,bus,5,65.0,60.0,at_station,,,-1.0
9,bus,6,0.0,15.0,at_station,,,1.0
9,bus,7,50.0,75.0,at_station,,,-1.0
10,drone,0,13.333333333333334,13.333333333333334,idle,300.0,global,
10,drone,1,40.0,13.333333333333334,idle,300.0,global,
10,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
10,drone,3,13.333333333333334,40.0,idle,300.0,global,
10,drone,4,40.0,40.0,idle,300.0,global,
10,drone,5,66.66666666666667,40.0,idle,300.0,global,
10,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
10,drone,7,40.0,66.66666666666667,idle,300.0,global,
10,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
10,bus,0,15.0,20.0,at_station,,,1.0
10,bus,1,45.0,60.0,at_station,,,-1.0
10,bus,2,20.0,15.0,at_station,,,1.0
10,bus,3,50.0,55.0,at_station,,,-1.0
10,bus,4,15.0,0.0,at_station,,,1.0
10,bus,5,65.0,60.0,at_station,,,-1.0
10,bus,6,0.0,15.0,at_station,,,1.0
10,bus,7,50.0,75.0,at_station,,,-1.0
11,drone,0,13.333333333333334,13.333333333333334,idle,300.0,global,
11,drone,1,40.0,13.333333333333334,idle,300.0,global,
11,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
11,drone,3,13.333333333333334,40.0,idle,300.0,global,
11,drone,4,40.0,40.0,idle,300.0,global,
11,drone,5,66.66666666666667,40.0,idle,300.0,global,
11,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
11,drone,7,40.0,66.66666666666667,idle,300.0,global,
11,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
11,bus,0,15.0,20.0,at_station,,,1.0
11,bus,1,45.0,60.0,at_station,,,-1.0
11,bus,2,20.0,15.0,at_station,,,1.0
11,bus,3,50.0,55.0,at_station,,,-1.0
11,bus,4,15.0,0.0,at_station,,,1.0
11,bus,5,65.0,60.0,at_station,,,-1.0
11,bus,6,0.0,15.0,at_station,,,1.0
11,bus,7,50.0,75.0,at_station,,,-1.0
12,drone,0,13.333333333333334,13.333333333333334,idle,300.0,global,
12,drone,1,40.0,13.333333333333334,idle,300.0,global,
12,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
12,drone,3,13.333333333333334,40.0,idle,300.0,global,
12,drone,4,40.0,40.0,idle,300.0,global,
12,drone,5,66.66666666666667,40.0,idle,300.0,global,
12,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
12,drone,7,40.0,66.66666666666667,idle,300.0,global,
12,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
12,bus,0,15.0,22.5,moving,,,1.0
12,bus,1,42.5,60.0,moving,,,-1.0
12,bus,2,22.5,15.0,moving,,,1.0
12,bus,3,50.0,52.5,moving,,,-1.0
12,bus,4,15.0,2.5,moving,,,1.0
12,bus,5,62.5,60.0,moving,,,-1.0
12,bus,6,2.5,15.0,moving,,,1.0
12,bus,7,50.0,72.5,moving,,,-1.0
13,drone,0,13.333333333333334,13.333333333333334,idle,300.0,global,
13,drone,1,40.0,13.333333333333334,idle,300.0,global,
13,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
13,drone,3,13.333333333333334,40.0,idle,300.0,global,
13,drone,4,40.0,40.0,idle,300.0,global,
13,drone,5,66.66666666666667,40.0,idle,300.0,global,
13,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
13,drone,7,40.0,66.66666666666667,idle,300.0,global,
13,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
13,bus,0,15.0,27.5,moving,,,1.0
13,bus,1,37.5,60.0,moving,,,-1.0
13,bus,2,27.5,15.0,moving,,,1.0
13,bus,3,50.0,47.5,moving,,,-1.0
13,bus,4,15.0,7.5,moving,,,1.0
13,bus,5,57.5,60.0,moving,,,-1.0
13,bus,6,7.5,15.0,moving,,,1.0
13,bus,7,50.0,67.5,moving,,,-1.0
14,drone,0,13.333333333333334,13.333333333333334,idle,300.0,global,
14,drone,1,40.0,13.333333333333334,idle,300.0,global,
14,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
14,drone,3,13.333333333333334,40.0,idle,300.0,global,
14,drone,4,40.0,40.0,idle,300.0,global,
14,drone,5,66.66666666666667,40.0,idle,300.0,global,
14,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
14,drone,7,40.0,66.66666666666667,idle,300.0,global,
14,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
14,bus,0,15.0,30.0,at_station,,,1.0
14,bus,1,35.0,60.0,at_station,,,-1.0
14,bus,2,30.0,15.0,at_station,,,1.0
14,bus,3,50.0,45.0,at_station,,,-1.0
14,bus,4,15.0,10.0,at_station,,,1.0
14,bus,5,55.0,60.0,at_station,,,-1.0
14,bus,6,10.0,15.0,at_station,,,1.0
14,bus,7,50.0,65.0,at_station,,,-1.0
15,drone,0,18.184045834059994,14.546011458514998,moving_to_bus_station_for_delivery,295.0,global,
15,drone,1,40.0,13.333333333333334,idle,300.0,global,
15,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
15,drone,3,13.333333333333334,40.0,idle,300.0,global,
15,drone,4,44.47213595499958,37.763932022500214,moving_to_pickup,295.0,global,
15,drone,5,66.66666666666667,40.0,idle,300.0,global,
15,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
15,drone,7,40.0,66.66666666666667,idle,300.0,global,
15,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
15,bus,0,15.0,30.0,at_station,,,1.0
15,bus,1,35.0,60.0,at_station,,,-1.0
15,bus,2,30.0,15.0,at_station,,,1.0
15,bus,3,50.0,45.0,at_station,,,-1.0
15,bus,4,15.0,10.0,at_station,,,1.0
15,bus,5,55.0,60.0,at_station,,,-1.0
15,bus,6,10.0,15.0,at_station,,,1.0
15,bus,7,50.0,65.0,at_station,,,-1.0
16,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
16,drone,1,40.0,13.333333333333334,idle,300.0,global,
16,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
16,drone,3,13.333333333333334,40.0,idle,300.0,global,
16,drone,4,48.94427190999916,35.52786404500042,moving_to_pickup,290.0,global,
16,drone,5,66.66666666666667,40.0,idle,300.0,global,
16,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
16,drone,7,40.0,66.66666666666667,idle,300.0,global,
16,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
16,bus,0,15.0,30.0,at_station,,,1.0
16,bus,1,35.0,60.0,at_station,,,-1.0
16,bus,2,30.0,15.0,at_station,,,1.0
16,bus,3,50.0,45.0,at_station,,,-1.0
16,bus,4,15.0,10.0,at_station,,,1.0
16,bus,5,55.0,60.0,at_station,,,-1.0
16,bus,6,10.0,15.0,at_station,,,1.0
16,bus,7,50.0,65.0,at_station,,,-1.0
17,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
17,drone,1,40.0,13.333333333333334,idle,300.0,global,
17,drone,2,66.66666666666667,13.333333333333334,idle,300.0,global,
17,drone,3,13.333333333333334,40.0,idle,300.0,global,
17,drone,4,50.0,35.0,waiting_at_bus_station_for_pickup_bus,288.819660112501,global,
17,drone,5,66.66666666666667,40.0,idle,300.0,global,
17,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
17,drone,7,40.0,66.66666666666667,idle,300.0,global,
17,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
17,bus,0,15.0,32.5,moving,,,1.0
17,bus,1,32.5,60.0,moving,,,-1.0
17,bus,2,32.5,15.0,moving,,,1.0
17,bus,3,50.0,42.5,moving,,,-1.0
17,bus,4,15.0,12.5,moving,,,1.0
17,bus,5,52.5,60.0,moving,,,-1.0
17,bus,6,12.5,15.0,moving,,,1.0
17,bus,7,50.0,62.5,moving,,,-1.0
18,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
18,drone,1,35.96797502072147,16.29015165147092,direct_transport_to_pickup,295.0,global,
18,drone,2,61.88777162305692,14.80376257752095,direct_transport_to_pickup,295.0,global,
18,drone,3,13.333333333333334,40.0,idle,300.0,global,
18,drone,4,50.0,35.0,waiting_at_bus_station_for_pickup_bus,288.819660112501,global,
18,drone,5,66.66666666666667,40.0,idle,300.0,global,
18,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
18,drone,7,40.0,66.66666666666667,idle,300.0,global,
18,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
18,bus,0,15.0,37.5,moving,,,1.0
18,bus,1,27.5,60.0,moving,,,-1.0
18,bus,2,37.5,15.0,moving,,,1.0
18,bus,3,50.0,37.5,moving,,,-1.0
18,bus,4,15.0,17.5,moving,,,1.0
18,bus,5,47.5,60.0,moving,,,-1.0
18,bus,6,17.5,15.0,moving,,,1.0
18,bus,7,50.0,57.5,moving,,,-1.0
19,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
19,drone,1,35.0,17.0,direct_transport_to_delivery,293.7996415874206,global,
19,drone,2,57.10887657944717,16.274191821708563,direct_transport_to_pickup,290.0,global,
19,drone,3,13.333333333333334,40.0,idle,300.0,global,
19,drone,4,50.0,35.0,waiting_at_bus_station_for_pickup_bus,288.819660112501,global,
19,drone,5,66.66666666666667,40.0,idle,300.0,global,
19,drone,6,13.333333333333334,66.66666666666667,idle,300.0,global,
19,drone,7,40.0,66.66666666666667,idle,300.0,global,
19,drone,8,66.66666666666667,66.66666666666667,idle,300.0,global,
19,bus,0,15.0,40.0,at_station,,,1.0
19,bus,1,25.0,60.0,at_station,,,-1.0
19,bus,2,40.0,15.0,at_station,,,1.0
19,bus,3,50.0,35.0,at_station,,,-1.0
19,bus,4,15.0,20.0,at_station,,,1.0
19,bus,5,45.0,60.0,at_station,,,-1.0
19,bus,6,20.0,15.0,at_station,,,1.0
19,bus,7,50.0,55.0,at_station,,,-1.0
19,bus,8,15.0,0.0,at_station,,,1.0
19,bus,9,65.0,60.0,at_station,,,-1.0
19,bus,10,0.0,15.0,at_station,,,1.0
19,bus,11,50.0,75.0,at_station,,,-1.0
20,drone,0,20.0,15.0,waiting_at_bus_station_for_delivery,293.12815729063726,global,
20,drone,1,30.16462731368677,18.27246649639822,direct_transport_to_delivery,288.7996415874206,global,
20,drone,2,52.32998153583742,17.74462106589618,direct_transport_to_pickup,285.0,global,
