experiment_id,allow_cross_region,drone_count,total_tasks,completed_delivery_tasks,completed_pickup_tasks,total_completed_tasks,completion_rate,simulation_time_seconds,simulation_file,bus_file,package_file,timestamp,region_region_0_0_total,region_region_0_0_delivery,region_region_0_0_pickup,region_region_0_1_total,region_region_0_1_delivery,region_region_0_1_pickup,region_region_1_0_total,region_region_1_0_delivery,region_region_1_0_pickup,region_region_1_1_total,region_region_1_1_delivery,region_region_1_1_pickup,region_region_0_2_total,region_region_0_2_delivery,region_region_0_2_pickup,region_region_1_2_total,region_region_1_2_delivery,region_region_1_2_pickup,region_region_2_0_total,region_region_2_0_delivery,region_region_2_0_pickup,region_region_2_1_total,region_region_2_1_delivery,region_region_2_1_pickup,region_region_2_2_total,region_region_2_2_delivery,region_region_2_2_pickup,region_region_0_3_total,region_region_0_3_delivery,region_region_0_3_pickup,region_region_1_3_total,region_region_1_3_delivery,region_region_1_3_pickup
1,True,4,48,48,48,96,200.0,0.4418013095855713,simulation_results_reginal_20250523_135211/exp_01_cross_d4_simulation.csv,simulation_results_reginal_20250523_135211/exp_01_cross_d4_bus.csv,simulation_results_reginal_20250523_135211/exp_01_cross_d4_package.csv,2025-05-23 13:52:12,23,12,11,25,14,11,29,13,16,19,9,10,,,,,,,,,,,,,,,,,,,,,
2,True,5,48,48,48,96,200.0,0.5394208431243896,simulation_results_reginal_20250523_135211/exp_02_cross_d5_simulation.csv,simulation_results_reginal_20250523_135211/exp_02_cross_d5_bus.csv,simulation_results_reginal_20250523_135211/exp_02_cross_d5_package.csv,2025-05-23 13:52:12,18,6,12,20,11,9,18,11,7,21,10,11,19.0,10.0,9.0,,,,,,,,,,,,,,,,,,
3,True,6,48,48,48,96,200.0,0.45006513595581055,simulation_results_reginal_20250523_135211/exp_03_cross_d6_simulation.csv,simulation_results_reginal_20250523_135211/exp_03_cross_d6_bus.csv,simulation_results_reginal_20250523_135211/exp_03_cross_d6_package.csv,2025-05-23 13:52:13,20,8,12,13,8,5,16,9,7,19,10,9,15.0,9.0,6.0,13.0,4.0,9.0,,,,,,,,,,,,,,,
4,True,7,48,48,48,96,200.0,0.4873950481414795,simulation_results_reginal_20250523_135211/exp_04_cross_d7_simulation.csv,simulation_results_reginal_20250523_135211/exp_04_cross_d7_bus.csv,simulation_results_reginal_20250523_135211/exp_04_cross_d7_package.csv,2025-05-23 13:52:13,11,6,5,13,8,5,18,7,11,12,7,5,14.0,7.0,7.0,14.0,5.0,9.0,14.0,8.0,6.0,,,,,,,,,,,,
5,True,8,48,48,48,96,200.0,0.5074889659881592,simulation_results_reginal_20250523_135211/exp_05_cross_d8_simulation.csv,simulation_results_reginal_20250523_135211/exp_05_cross_d8_bus.csv,simulation_results_reginal_20250523_135211/exp_05_cross_d8_package.csv,2025-05-23 13:52:14,13,5,8,13,8,5,14,6,8,12,6,6,7.0,4.0,3.0,16.0,7.0,9.0,8.0,5.0,3.0,13.0,7.0,6.0,,,,,,,,,
6,True,9,48,48,48,96,200.0,0.48259520530700684,simulation_results_reginal_20250523_135211/exp_06_cross_d9_simulation.csv,simulation_results_reginal_20250523_135211/exp_06_cross_d9_bus.csv,simulation_results_reginal_20250523_135211/exp_06_cross_d9_package.csv,2025-05-23 13:52:14,11,6,5,15,9,6,15,6,9,13,6,7,7.0,4.0,3.0,11.0,4.0,7.0,8.0,5.0,3.0,11.0,6.0,5.0,5.0,2.0,3.0,,,,,,
7,True,10,48,48,48,96,200.0,0.4792172908782959,simulation_results_reginal_20250523_135211/exp_07_cross_d10_simulation.csv,simulation_results_reginal_20250523_135211/exp_07_cross_d10_bus.csv,simulation_results_reginal_20250523_135211/exp_07_cross_d10_package.csv,2025-05-23 13:52:15,9,4,5,9,5,4,11,6,5,10,5,5,8.0,5.0,3.0,14.0,6.0,8.0,7.0,3.0,4.0,11.0,7.0,4.0,,,,7.0,3.0,4.0,10.0,4.0,6.0
8,False,4,48,46,47,93,193.75,0.4958219528198242,simulation_results_reginal_20250523_135211/exp_08_nocross_d4_simulation.csv,simulation_results_reginal_20250523_135211/exp_08_nocross_d4_bus.csv,simulation_results_reginal_20250523_135211/exp_08_nocross_d4_package.csv,2025-05-23 13:52:15,33,16,17,25,13,12,20,12,8,15,5,10,,,,,,,,,,,,,,,,,,,,,
9,False,5,48,33,36,69,143.75,0.6224782466888428,simulation_results_reginal_20250523_135211/exp_09_nocross_d5_simulation.csv,simulation_results_reginal_20250523_135211/exp_09_nocross_d5_bus.csv,simulation_results_reginal_20250523_135211/exp_09_nocross_d5_package.csv,2025-05-23 13:52:16,26,12,14,14,5,9,15,9,6,12,6,6,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10,False,6,48,44,47,91,189.58333333333331,0.46396732330322266,simulation_results_reginal_20250523_135211/exp_10_nocross_d6_simulation.csv,simulation_results_reginal_20250523_135211/exp_10_nocross_d6_bus.csv,simulation_results_reginal_20250523_135211/exp_10_nocross_d6_package.csv,2025-05-23 13:52:16,27,13,14,15,6,9,15,9,6,12,6,6,11.0,6.0,5.0,11.0,4.0,7.0,,,,,,,,,,,,,,,
